Date,Monterey (CA) [mbpd],Austin Chalk (LA & TX) [mbpd],Granite Wash (OK & TX) [mbpd],Woodford (OK) [mbpd],Marcellus [mbpd],Haynesville [mbpd],"Niobrara-Codell (CO, WY) [mbpd]",Wolfcamp (TX & NM Permian) [mbpd],Bonespring (TX & NM Permian) [mbpd],Spraberry (TX & NM Permian) [mbpd],Bakken (MT & ND) [mbpd],Eagle Ford (TX) [mbpd],Yeso & Glorieta (TX & NM Permian) [mbpd],Delaware (TX & NM Permian) [mbpd]
1-Jan-00,0.062437,0.069694,0.006544,0.000386,0.000001,0.002925,0.015159,0.036491,0.009375,0.076869,0.021672,0.000008,0.033571,0.03082
1-Feb-00,0.061754,0.069925,0.006682,0.000359,0.000001,0.003279,0.015018,0.037371,0.009166,0.077017,0.020328,0.000003,0.034104,0.031032
1-Mar-00,0.061122,0.067523,0.006191,0.000337,0.000003,0.002912,0.015192,0.037764,0.009016,0.075276,0.019836,0.000007,0.03461,0.030582
1-Apr-00,0.060784,0.068514,0.006508,0.000352,0.000001,0.002936,0.015273,0.04032,0.009936,0.075452,0.020105,0.000003,0.034717,0.030539
1-May-00,0.06108,0.06684,0.006282,0.000347,0.000001,0.002807,0.01485,0.039837,0.009459,0.074332,0.019256,0.000005,0.034714,0.03081
1-Jun-00,0.059712,0.066056,0.006066,0.000318,0.000001,0.002797,0.014496,0.039405,0.009176,0.073622,0.018929,0.000005,0.034927,0.030983
1-Jul-00,0.058459,0.062525,0.006226,0.000311,0.000001,0.002647,0.014108,0.039723,0.009782,0.072391,0.018677,0.000006,0.034287,0.029632
1-Aug-00,0.058423,0.062815,0.006154,0.000294,0.000001,0.002679,0.014389,0.04135,0.009201,0.072839,0.018315,0.000004,0.033836,0.029621
1-Sep-00,0.058385,0.061626,0.005952,0.000338,0.000001,0.00271,0.014199,0.041011,0.008953,0.073847,0.018576,0.000004,0.03438,0.030918
1-Oct-00,0.058477,0.062265,0.006038,0.000328,0.000001,0.002762,0.015817,0.042024,0.009594,0.075396,0.018345,0.000004,0.035662,0.030664
1-Nov-00,0.057965,0.059676,0.006108,0.000338,0.000001,0.002863,0.015567,0.038931,0.009404,0.075928,0.018461,0.000004,0.035464,0.030134
1-Dec-00,0.060154,0.056847,0.005553,0.000303,0.000001,0.002774,0.015325,0.038215,0.009543,0.075139,0.017734,0.000005,0.035168,0.030488
1-Jan-01,0.061483,0.058023,0.005876,0.000282,0,0.002851,0.01648,0.038762,0.009401,0.077693,0.017391,0.000004,0.035342,0.030324
1-Feb-01,0.063108,0.058133,0.005967,0.00008,0,0.003052,0.015632,0.038367,0.009395,0.076329,0.0171,0.000004,0.036223,0.030693
1-Mar-01,0.062521,0.056617,0.006214,0.000341,0,0.003014,0.016436,0.038977,0.009257,0.076464,0.017474,0.000005,0.034838,0.030361
1-Apr-01,0.062179,0.056754,0.006459,0.000332,0,0.002886,0.016371,0.037171,0.009692,0.074702,0.017111,0.000002,0.035741,0.030121
1-May-01,0.061179,0.056538,0.006028,0.000359,0.000002,0.00279,0.016463,0.036439,0.009536,0.074683,0.017106,0.000007,0.035418,0.030339
1-Jun-01,0.059595,0.054881,0.006001,0.000361,0.000003,0.002563,0.01583,0.03648,0.009229,0.074484,0.016571,0.000005,0.035785,0.030121
1-Jul-01,0.061739,0.055419,0.005985,0.000348,0,0.002827,0.016491,0.036569,0.009368,0.073933,0.016128,0.000005,0.035535,0.029932
1-Aug-01,0.062398,0.055257,0.006042,0.000362,0,0.002768,0.016611,0.036586,0.010026,0.074189,0.016697,0.000005,0.036543,0.030263
1-Sep-01,0.063193,0.054638,0.005925,0.000376,0,0.002807,0.017169,0.035199,0.010118,0.07418,0.016793,0.000004,0.036043,0.030992
1-Oct-01,0.063813,0.05395,0.006116,0.000402,0,0.002754,0.01836,0.033953,0.009784,0.074879,0.016428,0.000005,0.036813,0.030962
1-Nov-01,0.062724,0.052726,0.005921,0.000331,0,0.002646,0.019054,0.034035,0.009247,0.073919,0.016749,0.000005,0.036154,0.030078
1-Dec-01,0.062743,0.052574,0.005719,0.000367,0,0.002551,0.019146,0.033944,0.009043,0.075001,0.016783,0.000003,0.036093,0.030126
1-Jan-02,0.06651,0.051832,0.00566,0.000371,0,0.002666,0.019064,0.034288,0.008909,0.075082,0.016393,0.000008,0.035963,0.029981
1-Feb-02,0.066579,0.050625,0.005625,0.000338,0,0.002618,0.019175,0.034756,0.008985,0.07434,0.016414,0.000005,0.035853,0.029382
1-Mar-02,0.066637,0.049919,0.00552,0.000346,0,0.002599,0.019193,0.034827,0.008641,0.073641,0.016195,0.000005,0.034947,0.029089
1-Apr-02,0.067296,0.048263,0.005747,0.00037,0,0.002445,0.019522,0.036274,0.008991,0.072496,0.016265,0.000005,0.035025,0.028468
1-May-02,0.066321,0.046393,0.005977,0.000395,0,0.002292,0.019677,0.037864,0.008637,0.071904,0.016433,0.000008,0.035203,0.028255
1-Jun-02,0.066947,0.045254,0.005841,0.000411,0,0.002283,0.018583,0.037346,0.008326,0.069709,0.016217,0.000004,0.034847,0.027811
1-Jul-02,0.065151,0.044645,0.005549,0.000425,0,0.002159,0.018018,0.035694,0.008152,0.068995,0.016173,0.000004,0.034621,0.028511
1-Aug-02,0.066314,0.045358,0.005617,0.000414,0,0.002121,0.019322,0.036184,0.00779,0.068485,0.016094,0.000003,0.034227,0.028613
1-Sep-02,0.064599,0.044132,0.005568,0.00043,0,0.002067,0.020018,0.037161,0.008157,0.069007,0.016551,0.000005,0.034139,0.028755
1-Oct-02,0.064937,0.043866,0.005521,0.000394,0,0.001641,0.019719,0.037175,0.008051,0.069346,0.017162,0.000005,0.033685,0.028878
1-Nov-02,0.064675,0.046038,0.005967,0.00042,0.000001,0.002105,0.019997,0.039581,0.008036,0.070308,0.017697,0.000003,0.033151,0.029112
1-Dec-02,0.062584,0.044754,0.005452,0.000432,0,0.002133,0.020723,0.039288,0.007543,0.07053,0.017744,0.000002,0.032856,0.029574
1-Jan-03,0.062953,0.044533,0.005998,0.0004,0.000002,0.002027,0.020515,0.038045,0.007525,0.071511,0.018174,0.000004,0.032917,0.02954
1-Feb-03,0.063252,0.043767,0.005913,0.000064,0.000002,0.002034,0.02083,0.037558,0.007408,0.071945,0.018863,0.000003,0.032174,0.029707
1-Mar-03,0.061609,0.043987,0.006107,0.000808,0.000002,0.002009,0.021178,0.036675,0.008009,0.071855,0.018406,0.000005,0.031753,0.029651
1-Apr-03,0.061124,0.043372,0.006286,0.000068,0.000002,0.001872,0.021529,0.035143,0.008986,0.071279,0.018493,0.000001,0.031683,0.029646
1-May-03,0.061657,0.043162,0.00616,0.000426,0.000002,0.001693,0.021629,0.035552,0.008652,0.069788,0.018383,0,0.0316,0.029268
1-Jun-03,0.060787,0.043524,0.006035,0.000455,0.000002,0.001609,0.021896,0.035351,0.008599,0.069375,0.018367,0.000001,0.031984,0.029201
1-Jul-03,0.061493,0.043139,0.006138,0.000436,0.000002,0.001614,0.020643,0.035662,0.009117,0.070072,0.019497,0.000006,0.032343,0.029918
1-Aug-03,0.061062,0.041846,0.006469,0.000387,0.000005,0.00147,0.020847,0.035841,0.008619,0.069888,0.019631,0.000003,0.032551,0.029497
1-Sep-03,0.061821,0.042135,0.00688,0.000418,0.000002,0.001583,0.023048,0.035138,0.008794,0.071262,0.02107,0.000001,0.031979,0.029465
1-Oct-03,0.062768,0.041676,0.006994,0.000442,0.000002,0.001561,0.022876,0.035405,0.009281,0.071873,0.021839,0.000003,0.031692,0.029877
1-Nov-03,0.060181,0.041205,0.006885,0.000416,0.000002,0.001565,0.022948,0.035375,0.010217,0.073215,0.023546,0.000002,0.031948,0.029572
