,Barnett,Haynesville-Bossier,Fayetteville,Woodford,Eagle Ford,Antrim,Marcellus,Bakken
2000,0.07,0.05,0,0,0,0.18,0,0
2001,0.11,0.05,0,0,0,0.17,0,0
2002,0.18,0.05,0,0,0,0.15,0,0
2003,0.25,0.04,0,0,0,0.15,0,0
2004,0.32,0.04,0,0,0,0.15,0,0
2005,0.42,0.04,0,0.01,0,0.14,0,0.01
2006,0.59,0.03,0.02,0.02,0,0.14,0,0.01
2007,0.91,0.03,0.09,0.06,0,0.14,0.01,0.02
2008,1.33,0.06,0.27,0.14,0,0.13,0.02,0.02
2009,1.47,0.47,0.51,0.22,0.02,0.13,0.1,0.03
2010,1.54,1.45,0.77,0.28,0.09,0.12,0.39,0.05
2011,1.69,2.5,0.94,0.31,0.37,0.11,1.03,0.09
2012,1.71,2.57,1.03,0.35,0.76,0.11,1.94,0.17
2013,1.93,1.81,0.82,0.61,0.8,0.11,3.4,0.18
2014,1.83,1.75,0.82,0.56,0.91,0.11,3.82,0.21
2015,1.78,1.94,0.92,0.56,1.01,0.11,3.82,0.22
2016,1.75,1.97,0.98,0.6,1.14,0.11,4.06,0.22
2017,1.71,2.06,1.04,0.64,1.24,0.11,4.29,0.22
2018,1.68,2.18,1.1,0.68,1.33,0.11,4.55,0.21
2019,1.64,2.62,1.18,0.74,1.51,0.11,4.78,0.21
2020,1.56,3.25,1.22,0.79,1.68,0.1,4.92,0.21
2021,1.49,3.61,1.26,0.81,1.83,0.1,4.94,0.2
2022,1.41,3.78,1.28,0.83,1.94,0.1,4.98,0.2
2023,1.35,3.89,1.31,0.86,2.03,0.1,5.04,0.19
2024,1.3,4,1.34,0.88,2.11,0.1,5.05,0.19
2025,1.24,4.07,1.38,0.9,2.16,0.1,5.01,0.18
2026,1.22,4.17,1.41,0.91,2.2,0.1,4.9,0.18
2027,1.28,4.21,1.44,0.9,2.21,0.1,4.72,0.17
2028,1.32,4.18,1.48,0.89,2.22,0.1,4.53,0.16
2029,1.34,4.12,1.51,0.87,2.24,0.1,4.34,0.16
2030,1.35,4.09,1.54,0.86,2.28,0.1,4.13,0.15
2031,1.36,4.02,1.57,0.86,2.32,0.1,4.04,0.15
2032,1.38,3.94,1.59,0.88,2.36,0.1,4.14,0.14
2033,1.41,3.87,1.6,0.88,2.39,0.1,4.25,0.14
2034,1.41,3.79,1.61,0.88,2.44,0.1,4.32,0.13
2035,1.38,3.71,1.62,0.86,2.49,0.1,4.41,0.12
2036,1.35,3.66,1.62,0.85,2.55,0.1,4.49,0.12
2037,1.41,3.61,1.6,0.84,2.6,0.1,4.55,0.11
2038,1.72,3.54,1.57,0.85,2.63,0.1,4.59,0.11
2039,1.97,3.46,1.55,0.84,2.66,0.12,4.59,0.1
2040,2.15,3.37,1.53,0.82,2.7,0.13,4.57,0.1
