year,"Barnett (Bcm per year, EIA AEO2014 price case)","Fayetteville (Bcm per year, EIA AEO2014 price case)","Haynesville (Bcm per year, EIA AEO2014 price case)","Marcellus (Bcm per year, EIA AEO2014 price case)"
2000,2.11,,,
2001,3.67,,,
2002,5.66,,,
2003,7.95,,,
2004,10.24,,,
2005,13.43,0.00,,
2006,18.91,0.29,,0.00
2007,29.27,2.25,0.00,0.33
2008,42.34,6.74,0.84,0.87
2009,48.04,13.88,9.96,7.83
2010,51.25,20.64,33.45,20.64
2011,54.81,25.27,59.08,40.57
2012,56.23,26.69,63.70,67.97
2013,56.94,25.98,52.32,94.31
2014,57.30,25.62,46.98,103.92
2015,56.59,25.62,45.55,109.61
2016,54.81,24.91,44.84,113.88
2017,53.03,24.20,46.27,117.80
2018,51.25,23.49,49.82,122.43
2019,49.47,22.42,54.45,127.05
2020,47.33,22.06,58.01,129.19
2021,45.55,21.00,58.72,130.25
2022,44.13,19.93,56.94,130.25
2023,42.35,18.86,54.81,127.05
2024,39.86,18.51,52.32,121.71
2025,37.72,17.08,50.89,114.95
2026,35.23,16.01,49.82,108.55
2027,33.10,14.95,48.04,102.50
2028,30.96,13.88,45.20,96.45
2029,28.83,12.46,41.99,90.75
2030,26.69,11.39,38.44,86.48
