date,date_C3,historical (EIA Natural Gas Weekly)
1/1/00,20000101,0.02167
2/1/00,20000201,0.02033
3/1/00,20000301,0.01984
4/1/00,20000401,0.02011
5/1/00,20000501,0.01926
6/1/00,20000601,0.01893
7/1/00,20000701,0.01868
8/1/00,20000801,0.01832
9/1/00,20000901,0.01858
10/1/00,20001001,0.01835
11/1/00,20001101,0.01846
12/1/00,20001201,0.01773
1/1/01,20010101,0.01739
2/1/01,20010201,0.0171
3/1/01,20010301,0.01747
4/1/01,20010401,0.01711
5/1/01,20010501,0.01711
6/1/01,20010601,0.01657
7/1/01,20010701,0.01613
8/1/01,20010801,0.0167
9/1/01,20010901,0.01679
10/1/01,20011001,0.01643
11/1/01,20011101,0.01675
12/1/01,20011201,0.01678
1/1/02,20020101,0.01639
2/1/02,20020201,0.01641
3/1/02,20020301,0.0162
4/1/02,20020401,0.01627
5/1/02,20020501,0.01643
6/1/02,20020601,0.01622
7/1/02,20020701,0.01617
8/1/02,20020801,0.01609
9/1/02,20020901,0.01655
10/1/02,20021001,0.01716
11/1/02,20021101,0.0177
12/1/02,20021201,0.01774
1/1/03,20030101,0.01817
2/1/03,20030201,0.01886
3/1/03,20030301,0.01841
4/1/03,20030401,0.01849
5/1/03,20030501,0.01838
6/1/03,20030601,0.01837
7/1/03,20030701,0.0195
8/1/03,20030801,0.01963
9/1/03,20030901,0.02107
10/1/03,20031001,0.02184
11/1/03,20031101,0.02355
12/1/03,20031201,0.02389
1/1/04,20040101,0.02489
2/1/04,20040201,0.02479
3/1/04,20040301,0.02727
4/1/04,20040401,0.02718
5/1/04,20040501,0.029
6/1/04,20040601,0.03088
7/1/04,20040701,0.03114
8/1/04,20040801,0.03195
9/1/04,20040901,0.03526
10/1/04,20041001,0.03656
11/1/04,20041101,0.03875
12/1/04,20041201,0.03948
1/1/05,20050101,0.04096
2/1/05,20050201,0.0472
3/1/05,20050301,0.04879
4/1/05,20050401,0.05166
5/1/05,20050501,0.05283
6/1/05,20050601,0.05306
7/1/05,20050701,0.0519
8/1/05,20050801,0.05539
9/1/05,20050901,0.05762
10/1/05,20051001,0.05874
11/1/05,20051101,0.0602
12/1/05,20051201,0.05994
1/1/06,20060101,0.05999
2/1/06,20060201,0.05944
3/1/06,20060301,0.06053
4/1/06,20060401,0.05975
5/1/06,20060501,0.0603
6/1/06,20060601,0.06201
7/1/06,20060701,0.06335
8/1/06,20060801,0.06381
9/1/06,20060901,0.06659
10/1/06,20061001,0.06662
11/1/06,20061101,0.06681
12/1/06,20061201,0.06698
1/1/07,20070101,0.06688
2/1/07,20070201,0.06707
3/1/07,20070301,0.06856
4/1/07,20070401,0.06881
5/1/07,20070501,0.07363
6/1/07,20070601,0.07281
7/1/07,20070701,0.0748
8/1/07,20070801,0.07534
9/1/07,20070901,0.07656
10/1/07,20071001,0.08105
11/1/07,20071101,0.08
12/1/07,20071201,0.08458
1/1/08,20080101,0.0856
2/1/08,20080201,0.08526
3/1/08,20080301,0.09065
4/1/08,20080401,0.09764
5/1/08,20080501,0.10557
6/1/08,20080601,0.11551
7/1/08,20080701,0.12069
8/1/08,20080801,0.12777
9/1/08,20080901,0.13977
10/1/08,20081001,0.15587
11/1/08,20081101,0.16762
12/1/08,20081201,0.1574
1/1/09,20090101,0.14474
2/1/09,20090201,0.15051
3/1/09,20090301,0.15483
4/1/09,20090401,0.15691
5/1/09,20090501,0.16509
6/1/09,20090601,0.17322
7/1/09,20090701,0.1858
8/1/09,20090801,0.18876
9/1/09,20090901,0.19517
10/1/09,20091001,0.19775
11/1/09,20091101,0.20166
12/1/09,20091201,0.19983
1/1/10,20100101,0.20127
2/1/10,20100201,0.22011
3/1/10,20100301,0.23587
4/1/10,20100401,0.24331
5/1/10,20100501,0.25864
6/1/10,20100601,0.2748
7/1/10,20100701,0.28328
8/1/10,20100801,0.29135
9/1/10,20100901,0.30542
10/1/10,20101001,0.30592
11/1/10,20101101,0.3209
12/1/10,20101201,0.30938
1/1/11,20110101,0.30836
2/1/11,20110201,0.31714
3/1/11,20110301,0.32777
4/1/11,20110401,0.31948
5/1/11,20110501,0.33383
6/1/11,20110601,0.35496
7/1/11,20110701,0.3957
8/1/11,20110801,0.41419
9/1/11,20110901,0.43305
10/1/11,20111001,0.46087
11/1/11,20111101,0.48118
12/1/11,20111201,0.50632
1/1/12,20120101,0.51485
2/1/12,20120201,0.5294
3/1/12,20120301,0.54858
4/1/12,20120401,0.58407
5/1/12,20120501,0.6155
6/1/12,20120601,0.6333
7/1/12,20120701,0.65209
8/1/12,20120801,0.6798
9/1/12,20120901,0.70522
10/1/12,20121001,0.72883
11/1/12,20121101,0.7159
12/1/12,20121201,0.74936
1/1/13,20130101,0.71949
2/1/13,20130201,0.76361
3/1/13,20130301,0.77114
4/1/13,20130401,0.77865
5/1/13,20130501,0.79657
6/1/13,20130601,0.80759
7/1/13,20130701,0.86131
8/1/13,20130801,0.89863
9/1/13,20130901,0.91813
10/1/13,20131001,0.92858
11/1/13,20131101,0.96054
12/1/13,20131201,0.91372
1/1/14,20140101,0.91793
2/1/14,20140201,0.93691
3/1/14,20140301,0.962
4/1/14,20140401,0.97692
5/1/14,20140501,0.99637
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
