month-year,spuds per mo,completions per mo,rigs,spuds per rig per mo
January-06,42,17,,
February-06,20,35,,
March-06,25,51,,
April-06,19,18,,
May-06,41,26,,
June-06,29,21,,
July-06,22,34,,
August-06,23,28,,
September-06,34,15,,
October-06,32,26,,
November-06,30,23,,
December-06,31,18,,
January-07,29,25,,
February-07,16,29,,
March-07,20,25,,
April-07,27,23,,
May-07,26,22,,
June-07,27,26,,
July-07,37,24,,
August-07,32,42,,
September-07,33,30,,
October-07,33,34,,
November-07,38,20,,
December-07,33,30,,
January-08,40,32,,
February-08,39,30,,
March-08,44,41,,
April-08,47,39,,
May-08,51,43,,
June-08,60,53,,
July-08,57,44,,
August-08,64,49,,
September-08,64,56,,
October-08,63,64,,
November-08,65,63,,
December-08,42,43,,
January-09,53,36,,
February-09,38,38,,
March-09,40,40,,
April-09,29,36,,
May-09,34,36,,
June-09,35,56,,
July-09,34,53,,
August-09,44,54,,
September-09,54,53,,
October-09,46,44,,
November-09,53,36,,
December-09,55,37,,
January-10,66,35,,
February-10,79,45,,
March-10,83,59,,
April-10,99,55,,
May-10,90,93,,
June-10,109,81,,
July-10,108,79,,
August-10,118,97,,
September-10,109,81,,
October-10,117,85,,
November-10,109,89,,
December-10,96,71,,
January-11,111,73,,
February-11,97,71,157.75,0.61
March-11,114,84,162.75,0.7
April-11,107,83,169.6,0.63
May-11,103,83,171,0.6
June-11,105,101,172,0.61
July-11,147,119,167.6,0.88
August-11,156,133,181.75,0.86
September-11,153,140,192,0.8
October-11,177,143,198.25,0.89
November-11,140,147,197,0.71
December-11,141,156,197.2,0.72
January-12,162,142,199,0.81
February-12,150,136,203,0.74
March-12,184,173,214.4,0.86
April-12,164,146,214,0.77
May-12,196,185,218,0.9
June-12,181,164,219.8,0.82
July-12,165,153,216.5,0.76
August-12,198,146,209.6,0.94
September-12,180,176,204.5,0.88
October-12,186,176,201.75,0.92
November-12,179,149,195.2,0.92
December-12,191,153,195.25,0.98
January-13,180,135,194.25,0.93
February-13,172,175,189.75,0.91
March-13,211,155,188.4,1.12
April-13,193,157,186.75,1.03
May-13,168,161,187,0.9
June-13,203,165,189,1.07
July-13,200,217,184.5,1.08
August-13,209,204,181.8,1.15
September-13,194,200,182.5,1.06
October-13,193,194,182,1.06
November-13,218,187,177.2,1.23
December-13,165,155,183,0.9
January-14,209,124,180,1.16
February-14,210,156,175.75,1.19
March-14,214,171,183,1.17
April-14,186,181,185.5,1
May-14,219,227,181.8,1.2
June-14,248,189,176.25,1.41
July-14,245,210,181.25,1.35
August-14,235,228,191,1.23
September-14,261,208,195.5,1.34
October-14,246,194,193.8,1.27
November-14,210,192,191.25,1.1
December-14,167,219,184.25,0.91
January-15,180,159,163.2,1.1
February-15,136,170,124.75,1.09
March-15,126,189,102,1.24
April-15,102,162,85.75,1.19
May-15,104,127,78.8,1.32
June-15,110,120,75.75,1.45
July-15,112,144,71.6,1.56
August-15,120,,72,1.67
September-15,,,71,
