FileNo,APINo,SpudDate,completion mo,CurrentWellName,CurrentOperator,Wellbore,WellType,WellStatus,Latitude,Longitude
10011,33011000100000,7/10/29,6/1/31,FEDERAL WBI     243,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.121566,-104.043326
10014,33011000130000,7/24/31,9/1/31,STATE WBI     265,WILLISTON BASIN INTERSTATE PIPELINE CO.,VERTICAL,GASD,PA,46.044475,-103.994174
10004,33011000030000,3/24/41,4/1/41,FEDERAL WBI     155,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.102844,-104.042759
10005,33011000040000,4/12/41,4/1/41,FEDERAL WBI     156,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.117998,-104.026061
10006,33011000050000,4/24/41,5/1/41,FEDERAL WBI     157,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.113717,-104.019725
10016,33011000150000,4/9/45,5/1/45,FEE WBI     285,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.020629,-103.956218
10021,33011000200000,5/23/45,6/1/45,FEDERAL WBI     308,"WBI PRODUCTION, INC.",VERTICAL,GASD,PA,46.064989,-104.007114
10020,33011000190000,7/9/45,7/1/45,FEDERAL WBI     307,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.079287,-104.017581
10019,33011000180000,7/19/45,7/1/45,FEDERAL WBI     306,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.086465,-104.027994
10018,33011000170000,8/2/45,8/1/45,FEDERAL WBI     305,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.093704,-104.027992
10017,33011000160000,8/17/45,8/1/45,FEDERAL WBI     304,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.108281,-104.038409
10023,33011000220000,7/25/46,8/1/46,FEDERAL WBI     318,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.04312,-103.986301
10024,33011000230000,8/5/46,8/1/46,FEDERAL WBI     321,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.035749,-103.976102
10025,33011000240000,8/16/46,8/1/46,FEDERAL   322,"BTA OIL PRODUCERS, LLC",VERTICAL,GASD,PA,46.02851,-103.976126
10028,33011000270000,9/2/46,9/1/46,WBI     325,"BTA OIL PRODUCERS, LLC",VERTICAL,GASD,PA,46.013927,-103.9555
10029,33011000280000,9/12/46,9/1/46,JOHNSON     326,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.014486,-103.945888
10038,33011000380000,11/8/46,11/1/46,JOHNSON     347,"BTA OIL PRODUCERS, LLC",VERTICAL,GASD,PA,46.020629,-103.945867
10026,33011000250000,11/22/46,11/1/46,LEWIS     323,"BTA OIL PRODUCERS, LLC",VERTICAL,GASD,PA,46.027975,-103.963442
10033,33011000330000,12/18/46,12/1/46,FEDERAL WBI     331,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.072143,-104.017719
10034,33011000340000,1/4/47,1/1/47,FEDERAL WBI     332,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.07932,-104.007168
10035,33011000350000,1/18/47,1/1/47,FEDERAL WBI     333,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.093719,-104.038408
10036,33011000360000,1/29/47,2/1/47,FEDERAL WBI     334,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.100973,-104.017512
10037,33011000370000,5/1/47,5/1/47,FEDERAL WBI     336,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.129981,-104.038353
10039,33011000390000,8/4/49,8/1/49,FEDERAL WBI     354,FIDELITY EXPLORATION & PRODUCTION COMPANY,VERTICAL,GASD,PA,46.071927,-103.986847
10040,33011000400000,8/23/49,8/1/49,LEWIS     355,"BTA OIL PRODUCERS, LLC",VERTICAL,GASD,PA,46.030336,-103.958013
